competent;talent;relation
Surveille ses propres limites, cherche des conseils et des informations si nécessaire et les applique;Comprendre l’information;proche
Surveille ses propres limites, cherche des conseils et des informations si nécessaire et les applique;Conseiller;associé
Surveille son propre bien-être psychosocial et prend les mesures qui s'imposent;Analyser l’information;associé
Surveiller la sécurité physique du patient;Faire preuve de fiabilité;associé
Surveiller le fonctionnement des réseaux, du matériel et des logiciels;Construire des réseaux;associé
Survole le contrat avec le client;Agir de manière orientée service;associé
Synthétise et conseille une ou plusieurs propositions;Conseiller;associé
Synthétise et conseille une ou plusieurs propositions;Intégrer l’information;associé
Système auditif;Analyser l’information;associé
Système d'enregistrement et de suivi des compétences de base (éducation spécialisée);Assimiler l’information;associé
Système d'exploitation informatique VMWare (virtualisation d'architecture);Conceptualiser;associé
Système d'Information de Gestion des Ressources Humaines (SIRH);Comprendre l’information;associé
Système d'Information Géographique (SIG);Comprendre l’information;associé
Système de communication;Communiquer;associé
Système de Management de la Qualité (SMQ);Faire preuve de fiabilité;associé
Système de Management de la Sécurité (SMS);Faire preuve de fiabilité;associé
Système de Management Environnement (SME);Comprendre l’organisation;associé
Système de réseau MAN (Metropolitan Area Network);Construire des réseaux;proche
Système de réseau sans fil;Construire des réseaux;associé
Système Mondial de Détresse et de Sécurité en Mer (SMDSM);Faire preuve de fiabilité;associé
Système réseau (LAN, MAN, WAN);Construire des réseaux;associé
Systèmes d'Aide à l'Exploitation et à l'Information Voyageurs - SAEIV;Comprendre l’information;associé
Systèmes d'exploitation de réseau;Construire des réseaux;associé
Systèmes de contrôle;Analyser l’information;associé
Systèmes de contrôle d'accès;Analyser l’information;associé
Systèmes de contrôle moteur;Analyser l’information;associé
Systèmes de cuisson pour les cuisines de collectivité;Assimiler l’information;associé
Systèmes de gestion des transports (Transport Management System - TMS);Gérer l’organisation;associé
Systèmes de mesure de carburant;Analyser l’information;associé
Systèmes de sauvegarde et d'enregistrement;Assimiler l’information;associé
Systèmes de sécurité-incendie;Faire preuve de fiabilité;associé
Taille des blocs de pierre à mesure;Analyser l’information;associé
Techniques d'accueil;Agir de manière orientée service;associé
Techniques d'analyse;Analyser l’information;associé
Techniques d'écoute et de relation à la personne;Établir des relations;associé
Techniques d'écriture de documentaires et d'histoires informatives;Assimiler l’information;associé
Techniques d'écriture de scénario;Développer une vision;associé
Techniques d'enregistrement;Assimiler l’information;associé
Techniques d'injection basse pression;Gérer le stress;associé
Techniques d'orientation;Développer une vision;associé
Techniques de communication;Communiquer;associé
Techniques de conseil;Conseiller;associé
Techniques de conservation de documents;Assimiler l’information;associé
Techniques de construction de réseaux gravitaires;Construire des réseaux;associé
Techniques de construction de réseaux sous pression;Construire des réseaux;associé
Techniques de construction de réseaux sous pression;Gérer le stress;associé
techniques de contrôle et de régulation;Analyser l’information;associé
Techniques de gestion du stress;Gérer le stress;associé
Techniques de mesure;Analyser l’information;associé
Techniques de mesure et de contrôle;Analyser l’information;proche
Techniques de négociation;Influencer;associé
Techniques de placement de panneaux solaires;Résoudre des problèmes;associé
Techniques de planification;Organiser;associé
Techniques de pose des lignes de données;Assimiler l’information;associé
Techniques de prise de mesures optiques;Analyser l’information;associé
Techniques de sécurité;Faire preuve de fiabilité;associé
Techniques et procédures de palpation superficielle;Structurer le travail;associé
Technologies de l'information et de la communication (TIC);Communiquer;associé
Technologies de l'information et de la communication (TIC);Comprendre l’information;associé
Télécharge des données dans un fichier;Assimiler l’information;associé
Tenir à jour des fichiers clients;Agir de manière orientée service;associé
Tenir le registre et la documentation de la pharmacie;Assimiler l’information;associé
Teste (contrôles d'interférence, contrôles de collision etc.);Analyser l’information;associé
Teste du point de vue du développement (bugs, tests d'intégration, fonctionnalité, …);Intégrer l’information;associé
Teste et analyse la capacité, la fonctionnalité et l'intégrité de l'infrastructure TIC;Analyser l’information;associé
Teste et introduit les nouveaux produits, les tendances et les techniques;Innover;associé
Teste la communication à bord du véhicule;Communiquer;associé
Teste la performance front-end et back-end;Atteindre les objectifs;associé
Teste la pression et l'étanchéité de l'installation au gaz;Gérer le stress;associé
Teste le réseau pour détecter les erreurs et les anomalies par rapport aux spécifications de communication établies;Communiquer;associé
Teste le réseau pour détecter les erreurs et les anomalies par rapport aux spécifications de communication établies;Construire des réseaux;associé
Teste les codes sources intégrés dans les tests d'intégration;Intégrer l’information;associé
Teste les composants sur leur fonctionnement;Développer des collaborateur·trices;associé
Teste les objectifs de l'activité ou du projet du point de vue de l'organisation;S’impliquer dans l’organisation;proche
Teste les objectifs de l'activité ou du projet du point de vue de l'organisation;Comprendre l’organisation;associé
Teste les objectifs de l'activité ou du projet du point de vue de l'organisation;Organiser;associé
Teste les propriétés désirées des glaçures sur base des tests et enregistre les résultats;Atteindre les objectifs;associé
Teste les résultats de la conception par rapport à la liste d'exigences;Atteindre les objectifs;associé
Teste les résultats de la conception par rapport à la liste d'exigences;Conceptualiser;associé
Teste s'il y a des parties du réseau qui sont bloquées;Construire des réseaux;associé
Teste toutes les navigations, les menus et les liens avec des logiciels adaptés;S’adapter;associé
Tester l'étanchéité, la pente, etc. d'un réseau de canalisations;Construire des réseaux;associé
Tester le véhicule et réaliser la mise au point et les réglages;Exécuter des tâches;associé
Tester un prototype;Innover;associé
Tests d'intégration;Intégrer l’information;associé
Texte structuré;Structurer le travail;associé
Théâtre expérimental;Innover;associé
Tient à jour des fichiers et des données des actions en conformité avec les exigences légales;Assimiler l’information;associé
Tient à jour des fichiers et des données des actions en conformité avec les exigences légales;Faire preuve de fiabilité;associé
Tient à jour l'enregistrement des produits existants;Assimiler l’information;associé
Tient à jour l'évaluation des risques;Analyser l’information;associé
Tient à jour l'information technique;Comprendre l’information;associé
Tient à jour l'information technique (cartes, documents nautiques, etc.);Assimiler l’information;associé
Tient à jour l'information technique (cartes, documents nautiques, etc.);Comprendre l’information;associé
Tient à jour l'information technique (plans d'entretien, procédures, livres d'instruction, …);Comprendre l’information;proche
Tient à jour la documentation et les dossiers relatifs aux essais cliniques;Assimiler l’information;associé
Tient à jour le matériel de documentation;Assimiler l’information;associé
Tient à jour les documents juridiques;Assimiler l’information;associé
Tient à jour les données de l'installation;Assimiler l’information;associé
Tient à jour les données de la portée;Assimiler l’information;associé
Tient à jour les données des activités;Assimiler l’information;associé
Tient à jour les données des prestations;Assimiler l’information;associé
Tient à jour les données du contrôle;Analyser l’information;associé
Tient à jour les données du contrôle;Assimiler l’information;associé
Tient à jour les données relatives à l'intervention et à l'enquête (heure, motif, constatations, etc.);Assimiler l’information;associé
Tient à jour les données relatives au séchage;Assimiler l’information;associé
Tient à jour les données sur les interventions (horaire, raisons, déroulement, etc.);Assimiler l’information;associé
Tient à jour les journaux de bord et les registres de qualité;Faire preuve de fiabilité;associé
Tient à jour les modifications introduites au cours du processus de production (contenu, mise en scène, etc.);Comprendre l’organisation;associé
Tient à jour tous les changements de planification et de production et informe les personnes concernées à temps;Organiser;associé
Tient à jour tous les changements de planification et de production et informe les personnes concernées à temps;S’adapter;associé
Tient à jour une bibliothèque des procédures réussies (enregistre les paramètres) dans le cadre de l'optimisation de processus;Comprendre l’organisation;associé
Tient compte d'autres concepts techniques (lumière, son, etc.) et des travaux d'édition;Conceptualiser;associé
Tient compte d'un changement de langue;S’adapter;associé
Tient compte de l'activité pour laquelle le réseau est conçu;Construire des réseaux;associé
Tient compte de l'âge, la diversité, les attentes, l'expérience, … des participants;Faire preuve de respect;associé
Tient compte de l'architecture d'entreprise existante ou souhaitée;Conceptualiser;associé
Tient compte de l'environnement au sens large lors de l'élaboration de la stratégie de la bibiothèque (organisation dont la bibliothèque dépend, le monde des bibliothèques, les autorités, le contexte administratif et social);Comprendre l’organisation;proche
Tient compte de l'environnement et du contexte social lors de l'exécution des activités principales;Comprendre l’organisation;associé
Tient compte de l'environnement et du contexte social lors de l'exécution des activités principales;Exécuter des tâches;associé
Tient compte de l'environnement plus large et changeant (organisation dont il fait partie, secteur des archives, secteur du patrimoine culturel, gouvernement, développements administratifs, technologiques et sociaux, etc.) et des normes internationales pertinentes lors de l'élaboration de la politique d'archivage et d'information;Comprendre l’organisation;proche
Tient compte de l'environnement plus large et changeant (organisation dont il fait partie, secteur des archives, secteur du patrimoine culturel, gouvernement, développements administratifs, technologiques et sociaux, etc.) et des normes internationales pertinentes lors de l'élaboration de la politique d'archivage et d'information;S’impliquer dans l’organisation;associé
Tient compte de l'influence du retrait et des déformations;Influencer;associé
Tient compte de la consommation de carburant, de l'impact au sol, des prises accidentelles, … dans la détermination de la méthode de pêche (chaluts, lignes de fond, ligne à main, nasses, …);Structurer le travail;associé
Tient compte de la morphologie, des souhaits et des besoins du client;Agir de manière orientée service;associé
Tient compte de la précision, du format des données, des systèmes de coordonnées et des métadonnées des données collectées;Assimiler l’information;proche
Tient compte de la pression attendue;Gérer le stress;associé
Tient compte de la stratégie et du budget de l'organisation;Comprendre l’organisation;proche
Tient compte de la stratégie et du budget de l'organisation;Développer une vision;proche
Tient compte de la stratégie et du budget de l'organisation;S’impliquer dans l’organisation;associé
Tient compte de la structure de l'organisation et de la culture;S’impliquer dans l’organisation;proche
Tient compte de la structure de l'organisation et de la culture;Comprendre l’organisation;associé
Tient compte de possibles brouilleurs (caméras de sécurité, rideaux à lames, des capteurs de mouvement, etc.) pour une couverture suffisante du réseau (sans fil);Construire des réseaux;associé
Tient compte des analyses de risques, des autorisations de travail, …;Analyser l’information;associé
Tient compte des autres conceptions techniques (décor, éclairage, etc.);Conceptualiser;associé
Tient compte des conditions environnementales (température, humidité atmosphérique, …);Comprendre l’organisation;associé
Tient compte des conditions environnementales (température, humidité atmosphérique, etc.);Comprendre l’organisation;associé
Tient compte des conditions environnementales (température, humidité de l'air, etc.) lors de l'application des produits de protection;Comprendre l’organisation;associé
Tient compte des croyances religieuses ou de la conception de la vie;Conceptualiser;associé
Tient compte des délais de livraison, du coût, de la qualité et de la quantité du produit;Atteindre les objectifs;associé
Tient compte des directives du régisseur ou du designer et du concept artistique;Conceptualiser;proche
Tient compte des directives lors de la création de descriptions;Innover;associé
Tient compte des exigences de formes, de la mise en page, … en fonction du média utilisé;Communiquer;associé
Tient compte des exigences légales et réglementaires;Comprendre l’organisation;associé
Tient compte des exigences techniques, des besoins et des souhaits du client;Agir de manière orientée service;associé
Tient compte des facteurs environnementaux (arrière-plan, bruit, etc.);Comprendre l’organisation;associé
Tient compte des facteurs externes (localisation, conditions météorologiques, etc.) dans l'analyse d'une mission;Analyser l’information;associé
Tient compte des facteurs internes (équipement, capacité de charge du navire, etc.) dans l'analyse d'une mission;Analyser l’information;associé
Tient compte des facteurs qui peuvent influencer l'analyse (usage de médicaments, autres processus pathologiques, …);Analyser l’information;associé
Tient compte des facteurs qui peuvent influencer l'analyse (usage de médicaments, autres processus pathologiques, …);Comprendre l’organisation;associé
Tient compte des facteurs qui peuvent influencer l'analyse (usage de médicaments, autres processus pathologiques, …);Influencer;associé
Tient compte des informations du patient dans l'examen;Comprendre l’information;associé
Tient compte des limites (budgétaires, techniques et organisationnelles);Comprendre l’organisation;associé
Tient compte des limites (budgétaires, techniques et organisationnelles);Organiser;associé
Tient compte des limites (budgétaires, techniques et organisationnelles);S’impliquer dans l’organisation;associé
Tient compte des limites de l'organisation (budgétaires, techniques et organisationnelles);S’impliquer dans l’organisation;proche
Tient compte des limites de l'organisation (budgétaires, techniques et organisationnelles);Comprendre l’organisation;associé
Tient compte des limites de l'organisation (budgétaires, techniques et organisationnelles);Organiser;associé
Tient compte des mouvements des autres trains, des procédures et des directives;Structurer le travail;associé
Tient compte des objectifs commerciaux de l'organisation;S’impliquer dans l’organisation;proche
Tient compte des objectifs commerciaux de l'organisation;Comprendre l’organisation;associé
Tient compte des objectifs commerciaux de l'organisation;Organiser;associé
Tient compte des obligations légales et des procédures locales;Structurer le travail;associé
Tient compte des points de contrôle critiques (PCC - Critical Control Points) et des points d'attention (PDA);Analyser l’information;associé
Tient compte des priorités et des délais;Atteindre les objectifs;associé
Tient compte des priorités et des délais;Structurer le travail;associé
Tient compte des projets existants du client;Agir de manière orientée service;associé
Tient compte des proportions du corps et de la composition lors de la création des croquis;Innover;associé
Tient compte des rapports de zone et des documents relatifs à la sécurité en zone explosive;Faire preuve de fiabilité;associé
Tient compte des souhaits des clients, des tendances, des saisons, …;Agir de manière orientée service;associé
Tient compte des souhaits du client;Agir de manière orientée service;associé
Tient compte des souhaits du client en organisant les tâches;Agir de manière orientée service;associé
Tient compte des souhaits du client en organisant les tâches;Organiser;associé
Tient compte des souhaits du client lors de la détermination de l'itinéraire;Agir de manière orientée service;associé
Tient compte du budget disponible, des changements de prix saisonniers, des stocks disponibles, de l'utilisation de produits de commodité, …;S’adapter;associé
Tient compte du contexte socio-culturel et de la diversité au sein du groupe;Faire preuve de respect;associé
Tient compte du marché dans la détermination de la stratégie d'exportation commerciale (contexte, population, culture, chiffres à l'importation pour certains produits clés, réglementation, …);Comprendre l’organisation;proche
Tient compte du marché dans la détermination de la stratégie d'exportation commerciale (contexte, population, culture, chiffres à l'importation pour certains produits clés, réglementation, …);Développer une vision;associé
Tient compte du prix du support à traiter lors du choix de l'imposition;Assimiler l’information;associé
Tient compte du temps disponible, des budgets et des contraintes techniques;Organiser;associé
Tient compte lors de l'aménagement des lieux  de l'impact des facteurs environnementaux sur l'animal (sensible au stress, usure des griffes ou des sabots, …);Comprendre l’organisation;associé
Tient compte lors de l'aménagement des lieux  de l'impact des facteurs environnementaux sur l'animal (sensible au stress, usure des griffes ou des sabots, …);Gérer le stress;associé
Tient compte, lors de la commande, de la conservation des produits, des coûts et des délais de livraison;Atteindre les objectifs;associé
Tient compte lors de prise de décisions de la faisabilité, de la fonctionnalité, de la sécurité, de la facilité d'utilisation, du coût, de nouveaux développements, de la législation, etc.;Comprendre l’organisation;associé
Tient compte lors de prise de décisions de la faisabilité, de la fonctionnalité, de la sécurité, de la facilité d'utilisation, du coût, de nouveaux développements, de la législation, etc.;Faire preuve de fiabilité;associé
Tient des données sur l'accueil (présence, etc.);Assimiler l’information;associé
Tient des données sur l'origine, la quantité et la qualité du bois;Assimiler l’information;associé
Tient des données sur l'origine, la quantité et la qualité du bois;Faire preuve de fiabilité;associé
Tient des données sur le déroulement des activités;Assimiler l’information;associé
Tient des données sur le déroulement des travaux;Assimiler l’information;associé
Tient des données sur le déroulement du vol;Assimiler l’information;associé
Tient des entretiens de fonctionnement et d'évaluation;Analyser l’information;associé
Tient des registres d'exécution du  service après-vente;Exécuter des tâches;associé
Tient des registres de règlements et de transactions effectuées;Comprendre l’organisation;associé
Tient des registres des données de l'intervention (horaire, Nuisibles,, produits, etc.);Assimiler l’information;associé
Tient des registres du processus de production;Comprendre l’organisation;associé
Tient des registres du processus de production (heure, écarts, …);Comprendre l’organisation;associé
Tient des registres pour l'analyse;Analyser l’information;associé
Tient des registres sur le déroulement des enregistrements et la consommation du matériel;Assimiler l’information;associé
Tient, en utilisant un système informatisé, un registre contenant toutes les informations relatives à la délivrance de médicaments;Comprendre l’information;associé
Tient informé le responsable des ruptures de stock;Faire preuve d’engagement;associé
Tient le client au courant de l'évolution du dossier;Agir de manière orientée service;associé
Tient le client au courant de la livraison du produit ou du service ou des modifications dans le délai de livraison;Agir de manière orientée service;associé
Tient le client au courant de la livraison du produit ou du service ou des modifications dans le délai de livraison;Atteindre les objectifs;associé
Tient le client informé de la procédure de traitement des plaintes;Agir de manière orientée service;associé
Tient le journal de bord (heures d'arrivée et de départ, conditions météorologiques, incidents, etc.);Résoudre des problèmes;associé
Tient le patient au courant des changements dans les rendez-vous ou retards prévus;S’adapter;associé
Tient le responsable au courant lors de présomption de fraude;Faire preuve d’engagement;associé
Tient les données à jour;Assimiler l’information;associé
Tient les données à jour dans les dossiers;Assimiler l’information;associé
Tient les données à jour, les complète et les corrige;Assimiler l’information;associé
Tient les données des élèves à jour (changement d'adresse, changements de section, etc.);Assimiler l’information;associé
Tient les données des élèves à jour (changement d'adresse, changements de section, etc.);S’adapter;associé
Tient les données des participants ou des étudiants à jour;Assimiler l’information;associé
Tient les données du site à jour (faune et flore présentes);Assimiler l’information;associé
Tient les données du vol dans le carnet de vol;Assimiler l’information;associé
Tient les données financières à jour;Assimiler l’information;associé
Tient les informations sur les missions de la plongée dans un journal de bord;Comprendre l’information;associé
Tient les pièces justificatives et les listes de contrôle à disposition pour vérification;Analyser l’information;proche
Tient les registres des activités et des résultats;Atteindre les objectifs;associé
Tient les registres et les intègre dans les rapports périodiques, les statistiques et les prévisions;Intégrer l’information;associé
Tient un registre des activités réalisées (dates, lieux, heures);Exécuter des tâches;associé
Tient un registre des mesures effectuées (temps, valeurs, …);S’impliquer dans l’organisation;associé
Trace des éléments de pavage et les met sur mesure avec une meule, une cisaille, …;Analyser l’information;associé
Trace et mesure des lignes;Analyser l’information;associé
Trace le dimensionnement à l'aide d'instruments de mesure;Analyser l’information;associé
Trace les matériaux d'étanchéité sur la surface et les coupe sur mesure de façon à minimiser le nombre de joints;Analyser l’information;associé
Traduire ou interpréter d'une langue à une autre des informations, des propos, des écrits;Comprendre l’information;proche
Traduire un concept ou un script en représentation visuelle;Communiquer;associé
Traduire un concept ou un script en représentation visuelle;Conceptualiser;associé
Traduire un texte;Communiquer;associé
Traduire une conception artistique en une conception technique;Conceptualiser;associé
Traduit des données (de projet) en des dessins (de production);Assimiler l’information;associé
Traduit l'information et la connaissance dans un plan d'accompagnement;Comprendre l’information;proche
Traduit l'information et la connaissance sur la personne en un plan d'accompagnement;Comprendre l’information;proche
Traduit la conception fonctionnelle en une conception technique;Conceptualiser;associé
Traduit la législation en directives pratiques;Comprendre l’organisation;associé
Traduit la législation en règles pratiques;Comprendre l’organisation;associé
Traduit la nouvelle législation et la jurisprudence vers des applications au sein de la pratique professionnelle;Comprendre l’organisation;associé
Traduit la stratégie commerciale en objectifs de vente concrets et mesurables;Organiser;proche
Traduit la stratégie commerciale en objectifs de vente concrets et mesurables;Comprendre l’organisation;associé
Traduit la stratégie commerciale en objectifs de vente concrets et mesurables;Développer une vision;associé
Traduit le modèle d'informations dans un concept fonctionnel;Comprendre l’information;associé
Traduit le modèle d'informations dans un concept fonctionnel;Conceptualiser;associé
Traduit le souhait du client en offre;Agir de manière orientée service;associé
Traduit les conseils alimentaires ou diététiques dans les menus en tenant compte des allergies ou intolérances;Conseiller;associé
Traduit les coordonnées d'un dessin ou d'un plan de travail;Organiser;associé
Traduit les décisions stratégiques en objectifs opérationnels;Atteindre les objectifs;associé
Traduit les décisions stratégiques en objectifs opérationnels;Décider;associé
Traduit les documents lui-même ou vérifie les traductions;Assimiler l’information;associé
Traduit les informations météorologiques en prévisions météorologiques;Comprendre l’information;associé
Traduit les objectifs dans un programme d'entraînement (calendrier, alimentation, récupération, composition, …);Atteindre les objectifs;associé
Traduit les objectifs de marketing en objectifs d'études de marché;Atteindre les objectifs;associé
Traduit les objectifs de travail en actions concrètes;Atteindre les objectifs;associé
Traduit les objectifs opérationnels en processus ou en projets concrets;Atteindre les objectifs;associé
Traduit les objectifs opérationnels en processus ou en projets concrets;Comprendre l’organisation;associé
Traduit les objectifs stratégiques en objectifs opérationnels;Atteindre les objectifs;associé
Traduit les objectifs stratégiques en objectifs opérationnels;Organiser;associé
Traduit les orientations stratégiques en propositions réglementaires;Comprendre l’organisation;associé
Traduit les orientations stratégiques en propositions réglementaires;Développer une vision;associé
Traduit les propriétés techniques en concepts connus du client;Conceptualiser;associé
Traduit les souhaits des clients dans une description de mission;Agir de manière orientée service;associé
Traduit les souhaits du client en un concept créatif;Conceptualiser;associé
Traduit les souhaits du client en un concept créatif;Innover;associé
Traduit les souhaits du client en une mission;Agir de manière orientée service;associé
Traite avec respect des données sur les enfants et leur situation familiale;Assimiler l’information;associé
Traite avec respect des données sur les enfants et leur situation familiale;Faire preuve de respect;associé
Traite de la conception d'ensemble avec le directeur, scénariste, costumière, concepteur d'éclairage, etc.;Conceptualiser;associé
Traite de manière professionnelle les incompréhensions des clients ou les plaintes;Agir de manière orientée service;associé
Traite des données statistiques;Assimiler l’information;associé
Traite des informations judiciaires (dossiers judiciaires, plaintes ou procédures de services compétents (police, inspection, …));Comprendre l’information;associé
Traite des nouvelles commandes et des commandes urgentes dans des tableaux de planification;Organiser;associé
Traite des pièces d'archives par catégorie ou rubrique (identifier, codification, enregistrer, etc.);Assimiler l’information;associé
Traite des questions concernant le personnel (demandes, documents sociaux et fiscaux, …);Assimiler l’information;associé
Traite et enregistre les données;Assimiler l’information;proche
Traite l'éclaircissement de la demande pour les différents domaines qui posent problème;Résoudre des problèmes;associé
Traite l'objet de travail de manière curative avec des produits et des techniques adaptés au support;S’adapter;associé
Traite la commande conformément aux délais et aux priorités tel que prescrit dans les directives;Atteindre les objectifs;associé
Traite la commande conformément aux délais et aux priorités tel que prescrit dans les directives;Faire preuve de fiabilité;associé
Traite la communication (électronique) avec les propriétaires, les fournisseurs, les notaires, les résidents, les locataires, etc. (courriel, lettres, téléphone);Communiquer;associé
Traite la critique de façon constructive;Gérer le stress;associé
Traite le plomb (déplomber, mise en plomb, calibrage, nettoyer, consolider, soudage, masticage);Intégrer l’information;associé
Traite les changements de modèle dans le dessin technique;S’adapter;associé
Traite les conflits de manière constructive;Gérer le stress;associé
Traite les demandes d'avis supplémentaires dans une offre ou un contrat;Conseiller;associé
Traite les demandes des clients pour un renouvellement ou une modification du contrat au cours de la durée;Agir de manière orientée service;associé
Traite les données d'une pièce dans le système d'enregistrement interne;Assimiler l’information;proche
Traite les données de production pour calculer le rendement et vérifier la qualité;Analyser l’information;associé
Traite les données de production pour calculer le rendement et vérifier la qualité;Assimiler l’information;associé
Traite les données de production pour calculer le rendement et vérifier la qualité;Atteindre les objectifs;associé
Traite les données de production pour en tirer des informations sur la qualité, la sécurité et la productivité;Faire preuve de fiabilité;proche
Traite les données de production pour en tirer des informations sur la qualité, la sécurité et la productivité;Assimiler l’information;associé
Traite les données de production pour en tirer des informations sur la qualité, la sécurité et la productivité;Comprendre l’information;associé
Traite les données de vol en informations utiles (cartes d'ensemble, fichiers de données, etc.);Assimiler l’information;associé
Traite les données de vol en informations utiles (cartes d'ensemble, fichiers de données, etc.);Comprendre l’information;associé
Traite les données financières dans un système automatisé;Assimiler l’information;associé
Traite les étiquettes auriculaires conformément aux exigences légales;Faire preuve de fiabilité;associé
Traite les images médicales obtenues selon les normes de qualité en vigueur;Faire preuve de fiabilité;associé
Traite les informations concernant le bénéficiaire des soins de manière confidentielle;Comprendre l’information;associé
Traite les informations confidentielles avec discrétion;Comprendre l’information;associé
Traite les informations dans le servicedesk;Comprendre l’information;associé
Traite les informations de manière confidentielle;Comprendre l’information;associé
Traite les informations des rapports de recherche pour en faire des informations de gestion;Assimiler l’information;proche
Traite les informations des rapports de recherche pour en faire des informations de gestion;Comprendre l’information;associé
Traite les informations disponibles, en tenant compte du contexte social et culturel du patient;Comprendre l’information;associé
Traite les intuitions de manière créative, associative et (re)productive;Innover;associé
Traite les personnes sous l'influence de l'alcool ou de la drogue;Influencer;associé
Traite les plaintes conformément aux procédures;Faire preuve de fiabilité;associé
Traite les rentrées et les dépenses à l’aide des documents de caisse et des relevés de compte bancaires;Assimiler l’information;associé
Traite les résultats;Atteindre les objectifs;proche
Traite les résultats dans un rapport avec les constatations et les conclusions;Atteindre les objectifs;associé
Traite les résultats dans un rapport avec les constatations et les conclusions;Intégrer l’information;associé
Traite les résultats et les observations dans un rapport;Atteindre les objectifs;associé
Traite les taches;Exécuter des tâches;associé
Traite libre de toute influence externe, sans préjugés et de manière impartiale;Influencer;associé
Traite un nouveau moule plusieurs fois avec une cire de démoulage et avec du film ou de l'alcool;Innover;associé
Traiter des actes de procédure;Assimiler l’information;associé
Traiter des déchets d'équipements électriques et électroniques;Assimiler l’information;associé
Traiter des dossiers de litiges ou de plaintes;Assimiler l’information;associé
Traiter des fichiers de contribuables;Assimiler l’information;associé
Traiter des images numériques;Assimiler l’information;proche
Traiter et transmettre des informations codées;Assimiler l’information;proche
Traiter et transmettre des informations codées;Partager son savoir-faire;associé
Traiter l'information;Assimiler l’information;proche
Traiter la demande des plaignants;Assimiler l’information;associé
Traiter le défaut d'une pièce;Assimiler l’information;associé
Traiter les demandes d'internautes;Assimiler l’information;associé
Traiter les métaux précieux;Assimiler l’information;associé
Traiter les peaux, les squelettes, les bois ou les cornes pour la conservation;Assimiler l’information;associé
Traiter les photographies de manière numérique;Assimiler l’information;proche
Traiter les réclamations;Assimiler l’information;associé
Traiter les surfaces des moules;Assimiler l’information;associé
Traiter les wafers ou les lingots (gravure, polissage, broyage, chauffage, etc.);Assimiler l’information;associé
Traiter par l'ostéopathie;Assimiler l’information;associé
Traiter par la chiropractie;Assimiler l’information;associé
Transfère des feuilles flexibles sur les textiles;S’adapter;associé
Transfère le fichier d'achèvement des travaux au client;Agir de manière orientée service;associé
Transfère le service quand l'avion entre dans un espace aérien contrôlé par un autre centre;Analyser l’information;associé
Transfère les documents de coordination (contre accusé de réception) aux personnes concernées à la fois après l'avant projet et lors de la phase de mise en œuvre;Assimiler l’information;associé
Transfère les ordres de production aux départements de production dans les délais impartis;Atteindre les objectifs;associé
Transfère les résultats du projet;Atteindre les objectifs;associé
Transférer le client;Agir de manière orientée service;associé
Transfert les résultats au médecin;Atteindre les objectifs;associé
Transforme les informations commerciales en informations sur le comportement des clients;Agir de manière orientée service;associé
Transforme les informations commerciales en informations sur le comportement des clients;Comprendre l’information;associé
Transforme une objection en argument de vente;Influencer;associé
Transmet, après contrôle, la commande du (des) moteur(s) au pont du navire;Analyser l’information;associé
Transmet la commande de stupéfiants conformément aux obligations légales;Faire preuve de fiabilité;associé
Transmet la vision pédagogique du lieu d’accueil;Développer une vision;associé
Transmet le problème au service compétent si nécessaire;Résoudre des problèmes;associé
Transmet les conclusions des experts aux parties concernées;Intégrer l’information;associé
Transmet les informations au coordinateur de l'école et discute des difficultés si nécessaire;Comprendre l’information;associé
Transmet les messages en interne au services responsables;Faire preuve d’engagement;associé
Transmet les résultats des tests au vétérinaire pour interprétation;Atteindre les objectifs;associé
Transmet ses connaissances et des faits au public;Partager son savoir-faire;proche
Transmet ses connaissances et des faits au public;Comprendre l’information;associé
Transmet toutes les données de facturation à la comptabilité;Assimiler l’information;associé
Transmettre des éléments de contentieux pour traitement;Partager son savoir-faire;associé
Transmettre le certificat PEB;Partager son savoir-faire;associé
Transorfme l'objection du client en un argument d'achat;Agir de manière orientée service;associé
Transporte les animaux dans des cages adaptées;S’adapter;associé
Transpose les informations techniques en un message commercial et/ou accessible au grand public;Comprendre l’information;associé
Travaille à la préparation du traitement ou de la prévention de la demande d'aide, le potentiel pour les soins de kinésithérapie et les résultats fondés sur des preuves;Atteindre les objectifs;associé
Travaille à partir de l'expérience des hôtes, des clients et des employés;Agir de manière orientée service;associé
Travaille à partir de priorités et d'objectifs du patient (composants CIF);Atteindre les objectifs;associé
Travaille autant sur des projets de communications internes qu'externes;Communiquer;associé
Travaille avec des bases de données;Assimiler l’information;associé
Travaille avec des tableaux de mesure;Analyser l’information;associé
Travaille avec du matériel adapté et stérile;S’adapter;associé
Travaille avec les services de sécurité publique;Faire preuve de fiabilité;associé
Travaille avec un coordinateur de sécurité;Faire preuve de fiabilité;associé
Travaille conformément au cahier des charges proposé;Faire preuve de fiabilité;associé
Travaille conformément aux cadres de référence couramment utilisés;Faire preuve de fiabilité;associé
Travaille conformément aux instructions du constructeur;Comprendre l’information;associé
Travaille conformément aux instructions du constructeur;Faire preuve de fiabilité;associé
Travaille conformément aux instructions du fabricant et/ou du client;Agir de manière orientée service;associé
Travaille conformément aux instructions du fabricant et/ou du client;Comprendre l’information;associé
Travaille conformément aux instructions du fabricant et/ou du client;Faire preuve de fiabilité;associé
Travaille conformément aux instructions du fabriquant;Comprendre l’information;associé
